epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6443,2.05841,1.93077,1.16811,1.70629,2.02026,0.82529,0.7641,0.79018,0.24885,0.87683,0.82564,0.8892,0.48554,2.48328,2.58982,0.84298,1.58015,2.31703,0.000653061,0.000653061,0.000653061
2,142.282,1.82228,1.22932,0.90888,1.24556,1.78425,0.50444,0.66296,0.49649,0.14477,0.69703,0.74359,0.70555,0.39214,2.54207,1.86943,0.28364,2.11082,2.43069,0.00130666,0.00130666,0.00130666
3,207.07,1.78062,1.02216,0.79693,1.20202,1.77162,0.4567,0.39487,0.28798,0.06416,0.90851,0.77436,0.86867,0.53705,3.37191,1.86641,0.37372,2.01038,3.36017,0.00194706,0.00194706,0.00194706
4,272.208,1.70636,0.89939,0.66336,1.14051,1.69622,0.15118,0.04615,0.02425,0.00612,0.45806,0.29744,0.31743,0.18907,3.48866,2.62126,0.22234,6.95557,4.45963,0.0019406,0.0019406,0.0019406
5,336.656,1.65456,0.81227,0.59069,1.05007,1.60738,0.73888,0.55385,0.53321,0.13536,0.91992,0.82469,0.89755,0.60841,2.79762,1.24983,0.20889,2.02179,2.43198,0.0019208,0.0019208,0.0019208
6,405.814,1.58041,0.74007,0.53589,0.95319,1.53843,0.83832,0.84103,0.7954,0.25387,0.95077,0.95385,0.95072,0.77345,2.38672,0.93096,0.04635,1.4047,2.06771,0.001901,0.001901,0.001901
7,475.063,1.57094,0.71207,0.54563,0.97244,1.54081,0.76256,0.66154,0.67448,0.1799,0.86763,0.90755,0.95534,0.64971,2.76629,1.33059,0.09056,1.43993,2.32007,0.0018812,0.0018812,0.0018812
8,545.611,1.52681,0.65042,0.49855,0.91515,1.51892,0.90814,0.91256,0.93973,0.48442,0.91911,0.93846,0.96727,0.81163,1.66121,0.749,0.05617,0.8854,1.42824,0.0018614,0.0018614,0.0018614
9,615.743,1.50069,0.59962,0.43056,0.88257,1.49727,0.85057,0.81538,0.84271,0.3594,0.91243,0.90837,0.94688,0.70751,1.96855,1.13346,0.23268,1.12599,1.65,0.0018416,0.0018416,0.0018416
10,685.724,1.46221,0.61883,0.47245,0.86648,1.46835,0.81003,0.66667,0.74603,0.26513,0.90011,0.77949,0.8747,0.6946,2.44286,1.05102,0.10344,1.58818,2.00792,0.0018218,0.0018218,0.0018218
11,756.584,1.44794,0.55426,0.43821,0.88692,1.43417,0.91768,0.91282,0.94428,0.53491,0.94771,0.95385,0.97615,0.855,1.51973,0.68599,0.0548,0.82817,1.3547,0.001802,0.001802,0.001802
12,826.888,1.38082,0.53022,0.43654,0.81155,1.40789,0.8713,0.85641,0.86849,0.37887,0.96676,0.94872,0.98342,0.82931,2.21887,0.714,0.0701,0.88155,1.77254,0.0017822,0.0017822,0.0017822
13,896.373,1.37511,0.5308,0.41726,0.8152,1.40214,0.90554,0.88718,0.93328,0.47491,0.97433,0.97336,0.9799,0.90122,1.80287,0.63709,0.03978,0.81574,1.4493,0.0017624,0.0017624,0.0017624
14,966.698,1.3305,0.50709,0.40914,0.76805,1.3701,0.90264,0.85578,0.91486,0.49814,0.97318,0.93024,0.97728,0.83752,1.68175,0.66266,0.0828,0.78816,1.36825,0.0017426,0.0017426,0.0017426
15,1037.95,1.32971,0.46977,0.37638,0.77015,1.36507,0.93097,0.85128,0.9384,0.43397,0.91174,0.90057,0.9519,0.76031,1.82825,0.94934,0.06215,0.92191,1.57916,0.0017228,0.0017228,0.0017228
16,1108.29,1.2541,0.42161,0.35875,0.71388,1.3398,0.94571,0.89324,0.93975,0.52678,0.97775,0.95897,0.98938,0.89702,1.72384,0.54429,0.02819,0.75716,1.42686,0.001703,0.001703,0.001703
17,1177.53,1.24821,0.42868,0.3743,0.71904,1.31719,0.87014,0.93846,0.94293,0.53569,0.9425,0.92461,0.97939,0.86127,1.53938,0.64174,0.04701,0.7663,1.38333,0.0016832,0.0016832,0.0016832
18,1241.9,1.23247,0.43604,0.38919,0.73243,1.31124,0.92816,0.94359,0.96005,0.53062,0.96852,0.98462,0.99148,0.90962,1.57887,0.46492,0.05217,0.71087,1.34964,0.0016634,0.0016634,0.0016634
19,1304.96,1.22979,0.41644,0.36171,0.70709,1.30988,0.86284,0.84615,0.84484,0.37164,0.98876,0.96923,0.98259,0.83857,2.22972,0.71251,0.07637,0.81008,1.81899,0.0016436,0.0016436,0.0016436
20,1367.96,1.25317,0.38167,0.36716,0.72801,1.31109,0.89236,0.90769,0.92293,0.46765,0.9624,0.96923,0.98499,0.8944,1.7921,0.60356,0.04795,0.77523,1.4878,0.0016238,0.0016238,0.0016238
21,1432.33,1.2496,0.37603,0.35079,0.72082,1.31527,0.89727,0.95385,0.9602,0.53507,0.92579,0.95964,0.97123,0.89042,1.5121,0.52969,0.0214,0.74476,1.31822,0.001604,0.001604,0.001604
22,1493.86,1.1923,0.35673,0.34263,0.67932,1.28166,0.93431,0.94825,0.97279,0.62535,0.95449,0.96802,0.98267,0.90289,1.29009,0.53409,0.03492,0.62406,1.22475,0.0015842,0.0015842,0.0015842
23,1555.57,1.17356,0.36097,0.34969,0.66374,1.27882,0.92955,0.95385,0.97475,0.61196,0.94954,0.97436,0.98763,0.91976,1.27266,0.4753,0.05747,0.65006,1.18003,0.0015644,0.0015644,0.0015644
24,1617.25,1.15606,0.3112,0.32592,0.64577,1.24774,0.91927,0.93846,0.96507,0.59899,0.95499,0.9641,0.97854,0.91551,1.4086,0.47412,0.02608,0.62179,1.21212,0.0015446,0.0015446,0.0015446
25,1678.89,1.14318,0.3272,0.33844,0.64207,1.25741,0.92372,0.93148,0.96992,0.55258,0.95929,0.96676,0.98763,0.92413,1.57231,0.4555,0.02808,0.67638,1.29165,0.0015248,0.0015248,0.0015248
26,1743.04,1.08964,0.32398,0.33072,0.63326,1.21212,0.96316,0.96923,0.97631,0.57961,0.97163,0.97949,0.98673,0.91559,1.43826,0.42786,0.03007,0.6734,1.26248,0.001505,0.001505,0.001505
27,1816.21,1.1022,0.31975,0.29776,0.60664,1.23341,0.96052,0.87336,0.94663,0.59233,0.95738,0.92155,0.95983,0.8927,1.29637,0.48507,0.02584,0.69105,1.18154,0.0014852,0.0014852,0.0014852
28,1885.37,1.08469,0.31514,0.30541,0.60141,1.21717,0.94356,0.94301,0.95037,0.53056,0.98461,0.98462,0.98173,0.90624,1.67715,0.46222,0.0254,0.67939,1.4389,0.0014654,0.0014654,0.0014654
29,1948.82,1.11963,0.31365,0.3035,0.62708,1.2369,0.94783,0.9641,0.95443,0.58462,0.97808,0.99487,0.99206,0.93416,1.44177,0.38377,0.03543,0.67156,1.2617,0.0014456,0.0014456,0.0014456
30,2014.8,1.1078,0.29715,0.29205,0.61188,1.21905,0.977,0.97949,0.98166,0.59046,0.99212,0.98462,0.99151,0.94303,1.29606,0.36367,0.03208,0.58526,1.21609,0.0014258,0.0014258,0.0014258
31,2080.43,1.06205,0.27867,0.2777,0.59694,1.20315,0.80068,0.80342,0.85637,0.53066,0.82131,0.82499,0.87995,0.76786,1.55028,0.80111,0.04147,1.02122,1.45578,0.001406,0.001406,0.001406
32,2145.5,1.04366,0.27599,0.28506,0.60036,1.19685,0.94363,0.96923,0.97896,0.67576,0.9587,0.98462,0.98475,0.93683,1.13113,0.35305,0.02113,0.56459,1.10783,0.0013862,0.0013862,0.0013862
33,2213.66,1.04898,0.27096,0.28914,0.58675,1.193,0.95845,0.93846,0.97068,0.60631,0.97973,0.95897,0.9836,0.94825,1.3758,0.37902,0.05094,0.60044,1.18748,0.0013664,0.0013664,0.0013664
34,2282.93,1.03773,0.27858,0.27926,0.58001,1.18785,0.96027,0.94359,0.97138,0.64043,0.98293,0.96923,0.9843,0.92472,1.2483,0.43925,0.0553,0.59919,1.20306,0.0013466,0.0013466,0.0013466
35,2352.89,1.03231,0.27575,0.30244,0.58149,1.19325,0.97157,0.9641,0.98049,0.68208,0.9819,0.97436,0.98622,0.93626,1.08616,0.36012,0.0263,0.54549,1.09676,0.0013268,0.0013268,0.0013268
36,2419.85,1.07021,0.27725,0.29591,0.59692,1.18405,0.91743,0.91171,0.92352,0.41215,0.98135,0.95385,0.9807,0.88256,2.1422,0.56526,0.07389,0.81513,1.78126,0.001307,0.001307,0.001307
37,2488.71,1.03442,0.27585,0.28923,0.56274,1.18121,0.94505,0.97008,0.98163,0.65542,0.96952,0.97876,0.98631,0.93043,1.14681,0.37877,0.03647,0.57769,1.10326,0.0012872,0.0012872,0.0012872
38,2554.94,1.08479,0.29846,0.31411,0.60365,1.21088,0.93654,0.93846,0.9553,0.61525,0.98303,0.98462,0.98948,0.94774,1.40265,0.36178,0.04007,0.60357,1.24155,0.0012674,0.0012674,0.0012674
39,2625.58,1.01665,0.25843,0.2975,0.55003,1.18528,0.9487,0.9641,0.97763,0.6834,0.95879,0.97436,0.98364,0.93604,1.07221,0.36526,0.03627,0.52031,1.09143,0.0012476,0.0012476,0.0012476
40,2693.59,1.01352,0.25852,0.26958,0.57266,1.18534,0.96024,0.95897,0.97422,0.67165,0.96121,0.96923,0.98478,0.9477,1.15253,0.31916,0.02335,0.57662,1.08784,0.0012278,0.0012278,0.0012278
41,2759.99,0.98907,0.24008,0.2543,0.54508,1.16398,0.97202,0.97436,0.97843,0.65427,0.9829,0.98462,0.98874,0.95061,1.16982,0.31236,0.01917,0.53089,1.12824,0.001208,0.001208,0.001208
42,2823.86,1.01249,0.24754,0.2472,0.54662,1.16023,0.96474,0.98218,0.98192,0.66664,0.97481,0.99227,0.99232,0.95525,1.20601,0.30626,0.02568,0.55848,1.11142,0.0011882,0.0011882,0.0011882
43,2890.97,0.99021,0.24628,0.27103,0.54928,1.16299,0.97506,0.97949,0.97304,0.56132,0.99037,0.99487,0.99254,0.9648,1.58786,0.28568,0.01858,0.60602,1.32506,0.0011684,0.0011684,0.0011684
44,2956.62,0.98478,0.23758,0.2671,0.54992,1.16325,0.97936,0.98974,0.98864,0.71472,0.98456,0.99487,0.99201,0.9622,1.04988,0.27477,0.02955,0.49943,1.04803,0.0011486,0.0011486,0.0011486
45,3024.17,0.96555,0.24638,0.24923,0.53676,1.15007,0.97414,0.98462,0.98344,0.70943,0.98802,0.99487,0.9909,0.96277,1.00527,0.28208,0.01929,0.53306,1.03752,0.0011288,0.0011288,0.0011288
46,3088.87,0.95268,0.23431,0.2599,0.54164,1.13065,0.97441,0.97623,0.98868,0.6673,0.98785,0.99487,0.99272,0.95404,1.12259,0.31588,0.02541,0.50182,1.0744,0.001109,0.001109,0.001109
