epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5034,2.09547,2.2004,1.32071,2.01972,1.95457,0.58373,0.48276,0.4826,0.1389,0.69632,0.67816,0.71758,0.36713,2.90216,2.63163,0.95373,2.90811,2.80548,0.000656566,0.000656566,0.000656566
2,172.355,1.94589,1.43115,1.05715,1.54539,1.78783,0.64856,0.55172,0.56464,0.21937,0.71676,0.59004,0.66298,0.38288,2.37364,2.20639,0.77841,1.70497,2.1017,0.0013145,0.0013145,0.0013145
3,252.238,1.92495,1.22089,0.83903,1.59465,1.78806,0.65102,0.65041,0.65249,0.22859,0.73922,0.73854,0.80667,0.48104,2.50911,2.07195,0.42914,1.52583,2.21135,0.00196363,0.00196363,0.00196363
4,331.74,1.82419,1.10212,0.79092,1.41937,1.74059,0.56147,0.51018,0.48131,0.16849,0.74755,0.68073,0.72069,0.40326,2.42869,2.25477,0.48468,2.9152,2.39051,0.0019604,0.0019604,0.0019604
5,411.021,1.78887,1.05628,0.71676,1.38047,1.70818,0.79539,0.64046,0.74706,0.31713,0.88927,0.75096,0.87179,0.63274,2.13355,1.49635,0.29836,2.07465,1.93772,0.0019472,0.0019472,0.0019472
6,490.464,1.71378,0.9483,0.66023,1.27192,1.63317,0.3566,0.21456,0.15077,0.0491,0.72545,0.61686,0.71855,0.46319,3.0724,1.70751,0.48413,3.46161,3.0223,0.001934,0.001934,0.001934
7,569.57,1.6936,0.8823,0.63216,1.23252,1.61502,0.84592,0.75862,0.80967,0.39591,0.87592,0.81992,0.89361,0.6526,1.98146,1.41091,0.16702,1.37992,1.86535,0.0019208,0.0019208,0.0019208
8,652.712,1.66595,0.82295,0.60181,1.19935,1.62903,0.83204,0.74025,0.80238,0.30565,0.97976,0.84674,0.96947,0.75397,2.37985,1.05777,0.10655,1.10487,2.0869,0.0019076,0.0019076,0.0019076
9,732.93,1.60944,0.72291,0.57632,1.13214,1.559,0.80173,0.74367,0.75144,0.25551,0.93228,0.89666,0.96393,0.76246,2.44991,1.09368,0.17834,1.41179,2.1927,0.0018944,0.0018944,0.0018944
10,811.455,1.61357,0.75478,0.56143,1.1437,1.57489,0.55453,0.35632,0.34005,0.12602,0.67418,0.57088,0.59245,0.45285,3.18952,1.87563,0.67574,3.5735,3.11032,0.0018812,0.0018812,0.0018812
11,891.131,1.59414,0.6902,0.53281,1.09766,1.55086,0.88742,0.81541,0.86111,0.35883,0.91863,0.94253,0.9666,0.82247,2.2973,0.84044,0.06627,1.25679,1.99625,0.001868,0.001868,0.001868
12,971.069,1.56702,0.65268,0.49356,1.04919,1.50894,0.9026,0.81226,0.89476,0.36184,0.95754,0.89655,0.97132,0.81704,2.15076,0.84728,0.06655,0.98618,1.89202,0.0018548,0.0018548,0.0018548
13,1049.27,1.52882,0.63292,0.49892,1.00483,1.48847,0.83728,0.80833,0.81589,0.31226,0.94017,0.93103,0.97675,0.83934,2.37141,0.75438,0.11969,1.10465,2.05631,0.0018416,0.0018416,0.0018416
14,1128.83,1.51679,0.63701,0.51055,1.05637,1.53344,0.81605,0.60153,0.68848,0.27243,0.83009,0.76745,0.89298,0.7314,2.29575,0.96299,0.16182,1.57301,2.14828,0.0018284,0.0018284,0.0018284
15,1207.49,1.4888,0.59552,0.49093,0.99026,1.45165,0.88236,0.86212,0.89578,0.37351,0.91737,0.9387,0.97257,0.7919,2.16644,0.88989,0.13703,1.03159,1.89387,0.0018152,0.0018152,0.0018152
