epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.5141,2.13037,2.13624,1.30269,2.02503,1.94084,0.53324,0.46886,0.3848,0.09576,0.80221,0.64835,0.74833,0.45708,2.74919,2.20755,0.84035,2.02038,2.43341,0.000657005,0.000657005,0.000657005
2,182.926,1.9247,1.35258,0.95922,1.54523,1.80532,0.28204,0.39194,0.18469,0.04323,0.81348,0.71429,0.8132,0.48759,2.86095,1.923,0.46495,2.91362,3.03986,0.00131494,0.00131494,0.00131494
3,263.477,1.94358,1.23336,0.83889,1.56834,1.75805,0.61206,0.49451,0.50945,0.15385,0.69351,0.61172,0.677,0.37855,2.49064,1.91557,0.21235,2.55205,2.26934,0.00196407,0.00196407,0.00196407
4,346.056,1.85045,1.1092,0.73368,1.42393,1.70183,0.7761,0.48352,0.60718,0.22443,0.77446,0.57875,0.73436,0.54395,2.52855,1.55318,0.18651,1.94591,2.42919,0.0019604,0.0019604,0.0019604
5,427.674,1.81911,1.07208,0.70741,1.40084,1.66475,0.84261,0.74519,0.79267,0.36921,0.86672,0.82784,0.9084,0.65989,2.0601,1.09378,0.10937,1.36044,1.91203,0.0019472,0.0019472,0.0019472
6,510.01,1.81795,1.00183,0.68561,1.36042,1.67812,0.8237,0.7033,0.79216,0.36865,0.88714,0.78755,0.8953,0.73563,1.94159,0.90928,0.10515,1.50805,1.81087,0.001934,0.001934,0.001934
7,592.611,1.7714,0.92109,0.6375,1.29118,1.63664,0.88598,0.7619,0.85006,0.37118,0.94218,0.86447,0.9313,0.77332,1.85685,0.96002,0.11075,1.26459,1.77421,0.0019208,0.0019208,0.0019208
8,676.838,1.70191,0.81698,0.61059,1.23349,1.61409,0.6643,0.60888,0.62357,0.19952,0.90266,0.8315,0.90959,0.7479,2.44977,0.97249,0.23671,1.90414,2.19034,0.0019076,0.0019076,0.0019076
9,758.839,1.67396,0.84381,0.58496,1.22408,1.57633,0.76911,0.7199,0.70068,0.2408,0.92192,0.9011,0.95581,0.7487,2.38074,0.89397,0.07959,1.56744,2.12213,0.0018944,0.0018944,0.0018944
10,841.036,1.62691,0.76665,0.56763,1.15931,1.55635,0.88777,0.66667,0.71352,0.2824,0.96319,0.78388,0.91313,0.72352,2.3088,0.95906,0.09075,1.36268,2.04359,0.0018812,0.0018812,0.0018812
11,924.129,1.60505,0.78053,0.53074,1.11082,1.50447,0.9013,0.84615,0.88035,0.33857,0.96553,0.92346,0.96771,0.83851,2.20055,0.78687,0.0515,1.2373,1.93865,0.001868,0.001868,0.001868
12,1006.69,1.58412,0.68732,0.54265,1.10998,1.53557,0.89766,0.83535,0.90647,0.40767,0.95344,0.9001,0.96813,0.78003,1.93974,0.86681,0.08927,0.94419,1.88725,0.0018548,0.0018548,0.0018548
