epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,45.2622,1.20791,0.50472,0.5748,0.74411,1.23857,0.99265,1,0.995,0.55932,0.99265,1,0.995,0.91057,1.57819,0.49714,0.10623,0.71306,1.2792,0.0009704,0.0009704,0.0009704
28,46.7083,1.19738,0.51939,0.60849,0.69758,1.21447,0.95123,1,0.99333,0.60814,0.95123,1,0.99333,0.88797,1.30104,0.48706,0.1231,0.62419,1.15428,0.0009308,0.0009308,0.0009308
29,48.1146,1.23011,0.44904,0.58902,0.73976,1.24044,0.98834,1,0.995,0.5167,0.98834,1,0.995,0.87761,1.63464,0.52877,0.12068,0.80244,1.28506,0.0008912,0.0008912,0.0008912
30,49.5588,1.1766,0.50768,0.54587,0.70086,1.21097,0.95285,0.95652,0.98223,0.44378,0.99616,1,0.995,0.90537,1.8327,0.47278,0.10966,0.80866,1.32306,0.0008516,0.0008516,0.0008516
31,50.9496,1.1122,0.47101,0.52276,0.66255,1.2021,0.95264,0.95652,0.97777,0.39738,0.99603,1,0.995,0.91483,2.15403,0.42451,0.12362,0.81292,1.4464,0.000812,0.000812,0.000812
32,52.36,1.19956,0.52872,0.56163,0.70134,1.22862,0.95205,0.95652,0.94543,0.51466,0.99532,1,0.995,0.89152,1.68261,0.45541,0.13113,0.62622,1.21576,0.0007724,0.0007724,0.0007724
33,53.7839,1.10847,0.46638,0.56067,0.62667,1.15189,0.95232,0.95652,0.94761,0.53836,0.99561,1,0.995,0.91404,1.5213,0.39299,0.1329,0.59448,1.14415,0.0007328,0.0007328,0.0007328
34,55.1881,1.10374,0.42807,0.56088,0.64994,1.18038,0.95242,0.95652,0.98201,0.42883,0.99571,1,0.995,0.9199,1.98541,0.43674,0.10846,0.76284,1.38243,0.0006932,0.0006932,0.0006932
35,56.6115,1.14168,0.45163,0.55338,0.64434,1.18457,0.95427,0.95652,0.98468,0.37768,0.99598,1,0.995,0.93421,2.03815,0.3866,0.07945,0.81211,1.43377,0.0006536,0.0006536,0.0006536
36,58.0489,1.08815,0.40686,0.46653,0.65805,1.17249,0.90911,0.91304,0.9389,0.39681,0.99579,1,0.995,0.96266,1.95899,0.36534,0.05337,0.72841,1.41687,0.000614,0.000614,0.000614
37,59.4252,1.02578,0.50395,0.56976,0.60387,1.11979,0.99496,1,0.995,0.51316,0.99496,1,0.995,0.96154,1.62737,0.36227,0.05358,0.63492,1.22626,0.0005744,0.0005744,0.0005744
38,60.8473,1.05969,0.49689,0.53237,0.61295,1.14542,0.98416,1,0.995,0.56266,0.98416,1,0.995,0.95979,1.43991,0.31072,0.05978,0.62504,1.14141,0.0005348,0.0005348,0.0005348
39,62.2868,1.07313,0.40285,0.54485,0.63936,1.14669,0.95255,0.95652,0.9805,0.56967,0.99585,1,0.995,0.96709,1.49872,0.2901,0.06021,0.64067,1.17665,0.0004952,0.0004952,0.0004952
40,63.6796,1.04043,0.40556,0.51604,0.59369,1.13126,0.9938,1,0.995,0.52413,0.9938,1,0.995,0.97915,1.71702,0.24941,0.05332,0.67723,1.31641,0.0004556,0.0004556,0.0004556
41,75.2673,0.84727,0.2753,0.091,0.46397,1.04022,0.99564,1,0.995,0.54736,0.99564,1,0.995,0.98456,1.61787,0.24097,0.04885,0.63814,1.2963,0.000416,0.000416,0.000416
42,77.2797,0.91104,0.29235,0.0848,0.46191,1.02869,0.99646,1,0.995,0.60655,0.99646,1,0.995,0.97161,1.34148,0.26326,0.05061,0.55909,1.16437,0.0003764,0.0003764,0.0003764
43,78.8496,0.92629,0.26259,0.07413,0.45739,1.05326,0.99627,1,0.995,0.62629,0.99627,1,0.995,0.96694,1.25355,0.27148,0.05255,0.54593,1.12197,0.0003368,0.0003368,0.0003368
44,80.3412,0.8944,0.23394,0.06977,0.45381,1.07996,0.99585,1,0.995,0.60956,0.99585,1,0.995,0.96237,1.32729,0.27955,0.05234,0.58212,1.16031,0.0002972,0.0002972,0.0002972
45,81.7217,0.80702,0.22135,0.07073,0.40973,0.99843,0.9955,1,0.995,0.58716,0.9955,1,0.995,0.94988,1.37697,0.29149,0.0533,0.58667,1.18333,0.0002576,0.0002576,0.0002576
46,83.157,0.79422,0.23039,0.06264,0.41842,0.99105,0.99519,1,0.995,0.5478,0.99519,1,0.995,0.96415,1.50395,0.27053,0.0498,0.59916,1.25578,0.000218,0.000218,0.000218
47,84.5876,0.86123,0.24898,0.06817,0.43723,1.0098,0.98779,1,0.995,0.54896,0.98779,1,0.995,0.97265,1.49891,0.25849,0.04815,0.59335,1.2613,0.0001784,0.0001784,0.0001784
48,86.0489,0.82966,0.25231,0.08524,0.42159,1.04837,0.98193,1,0.995,0.60223,0.98193,1,0.995,0.97862,1.37822,0.24706,0.04993,0.54658,1.17149,0.0001388,0.0001388,0.0001388
49,87.453,0.82088,0.23963,0.06021,0.43116,1.02393,0.98063,1,0.995,0.61082,0.98063,1,0.995,0.9774,1.29511,0.2505,0.05208,0.53522,1.12218,9.92e-05,9.92e-05,9.92e-05
50,88.8623,0.81237,0.23529,0.06328,0.42782,1.02125,0.97893,1,0.995,0.62046,0.97893,1,0.995,0.9766,1.21015,0.238,0.05331,0.53425,1.0753,5.96e-05,5.96e-05,5.96e-05
