epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5157,2.09547,2.2004,1.32071,2.01972,1.95457,0.58373,0.48276,0.4826,0.1389,0.69632,0.67816,0.71758,0.36713,2.90216,2.63163,0.95373,2.90811,2.80548,0.000656566,0.000656566,0.000656566
2,176.659,1.95132,1.42429,1.05285,1.55053,1.7862,0.49211,0.39724,0.36491,0.11051,0.6018,0.55587,0.59228,0.34521,2.81858,2.44037,0.4134,3.68222,2.50902,0.00129703,0.00129703,0.00129703
3,257.682,1.91419,1.2005,0.83621,1.55479,1.74926,0.54703,0.65134,0.54322,0.19436,0.65305,0.77886,0.73232,0.47455,2.49366,1.94443,0.23854,1.59276,2.31649,0.0019111,0.0019111,0.0019111
4,341.438,1.8138,1.09746,0.78814,1.43022,1.74534,0.24471,0.22989,0.16276,0.03606,0.7165,0.56164,0.66669,0.39412,3.55905,1.71309,0.37827,3.96271,3.7692,0.0018812,0.0018812,0.0018812
5,425.518,1.83634,1.05224,0.71823,1.35213,1.70541,0.84035,0.64536,0.73963,0.28357,0.88546,0.83908,0.92747,0.67605,2.36837,1.31636,0.20307,1.77878,2.03266,0.0018416,0.0018416,0.0018416
6,521.276,1.73225,0.91351,0.65866,1.25069,1.64126,0.29199,0.29885,0.17754,0.04844,0.69675,0.62502,0.66705,0.44578,3.3545,1.96641,0.354,3.88946,3.35343,0.001802,0.001802,0.001802
7,607.351,1.66717,0.86745,0.62838,1.22318,1.59924,0.74343,0.6328,0.66127,0.2752,0.77998,0.76061,0.80695,0.60839,2.29898,1.303,0.29568,1.71518,2.02225,0.0017624,0.0017624,0.0017624
8,696.836,1.63493,0.79048,0.60014,1.1731,1.60809,0.42492,0.35249,0.30319,0.0791,0.6972,0.70115,0.73286,0.55577,3.19684,1.34376,0.17671,3.43175,3.05759,0.0017228,0.0017228,0.0017228
9,787.612,1.60666,0.74312,0.56646,1.13697,1.55406,0.82037,0.78161,0.82767,0.33381,0.86799,0.80616,0.91246,0.73016,2.17523,1.26054,0.13323,1.12955,1.9364,0.0016832,0.0016832,0.0016832
10,873.562,1.5855,0.7285,0.5768,1.09737,1.54906,0.88177,0.83908,0.87528,0.42913,0.95596,0.91188,0.96828,0.83918,1.88492,0.92766,0.10097,0.90996,1.63018,0.0016436,0.0016436,0.0016436
