epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4247,2.11982,2.1292,1.31159,1.94801,1.99544,0.7821,0.73896,0.78435,0.25986,0.85583,0.83534,0.88828,0.61902,2.31727,2.02931,0.86608,2.15946,2.22083,0.000656085,0.000656085,0.000656085
2,175.382,1.94036,1.4623,1.06489,1.5678,1.809,0.5485,0.49799,0.43314,0.13122,0.69643,0.63574,0.70854,0.3056,2.77469,2.47439,0.60904,1.8693,2.48198,0.00129656,0.00129656,0.00129656
3,253.83,1.88191,1.25724,0.84564,1.47588,1.75942,0.62271,0.57028,0.59395,0.23812,0.74033,0.69846,0.77513,0.52827,2.05383,1.60445,0.26456,1.84614,1.92015,0.00191064,0.00191064,0.00191064
4,330.754,1.86689,1.18333,0.77156,1.44513,1.71711,0.79973,0.67068,0.72746,0.30729,0.84612,0.74297,0.85234,0.55555,2.06623,1.52854,0.47584,1.6973,1.82725,0.0018812,0.0018812,0.0018812
5,410.555,1.80331,1.12053,0.7657,1.34461,1.65353,0.67981,0.58635,0.59296,0.2343,0.78821,0.71743,0.77634,0.47241,2.22637,1.58534,0.19724,1.69358,2.20146,0.0018416,0.0018416,0.0018416
6,489.461,1.74181,0.94647,0.6641,1.33718,1.66746,0.81009,0.74699,0.77084,0.28713,0.889,0.81928,0.89771,0.63831,2.29921,1.31566,0.13844,1.35345,2.15123,0.001802,0.001802,0.001802
7,569.502,1.70163,0.93409,0.64147,1.24958,1.60789,0.8039,0.78313,0.82404,0.29135,0.88921,0.86747,0.9375,0.75896,2.17622,0.99315,0.09472,1.29564,1.89894,0.0017624,0.0017624,0.0017624
8,649.477,1.671,0.90409,0.66498,1.20927,1.56203,0.82765,0.78313,0.80249,0.25452,0.93271,0.88353,0.95731,0.7598,2.47917,1.03647,0.10681,1.34655,2.17504,0.0017228,0.0017228,0.0017228
9,725.763,1.61899,0.85874,0.61804,1.12958,1.51351,0.71568,0.67068,0.64097,0.20374,0.90223,0.8755,0.91305,0.60043,2.65802,1.19145,0.10471,1.46224,2.44842,0.0016832,0.0016832,0.0016832
10,803.751,1.62903,0.82452,0.59914,1.14814,1.58063,0.72035,0.6988,0.67824,0.23743,0.85599,0.83133,0.88966,0.70654,2.48671,1.10137,0.08254,1.59686,2.12531,0.0016436,0.0016436,0.0016436
11,882.804,1.5415,0.74511,0.56678,1.06349,1.48267,0.8931,0.73092,0.81423,0.38193,0.9169,0.79761,0.90535,0.77371,1.84115,0.89798,0.07441,1.38851,1.66138,0.001604,0.001604,0.001604
12,962.049,1.57269,0.69526,0.56261,1.07559,1.534,0.88879,0.84739,0.8844,0.40139,0.90499,0.86345,0.93236,0.74813,1.77499,0.89174,0.0934,1.20393,1.6975,0.0015644,0.0015644,0.0015644
13,1038.19,1.52463,0.68818,0.54733,1.0543,1.49068,0.87635,0.86345,0.89601,0.44727,0.93019,0.93574,0.97204,0.7874,1.80709,0.85818,0.05515,0.93603,1.63751,0.0015248,0.0015248,0.0015248
14,1115.09,1.48168,0.61414,0.51862,0.99718,1.4641,0.9353,0.87089,0.93281,0.39522,0.98739,0.94366,0.98847,0.85477,1.94782,0.69075,0.0647,0.85129,1.70906,0.0014852,0.0014852,0.0014852
15,1189.78,1.44829,0.59162,0.492,0.95041,1.44111,0.89202,0.8755,0.89143,0.37068,0.94325,0.94779,0.97465,0.83268,2.10597,0.73575,0.17069,1.0044,1.79457,0.0014456,0.0014456,0.0014456
16,1260.49,1.43921,0.59114,0.51285,0.93982,1.41162,0.90823,0.88353,0.9264,0.45607,0.94245,0.92071,0.97097,0.83739,1.76846,0.70512,0.07333,1.00735,1.69028,0.001406,0.001406,0.001406
17,1329.15,1.41608,0.57646,0.46892,0.92305,1.43013,0.93294,0.89397,0.93037,0.43038,0.98323,0.94193,0.97547,0.85098,1.87534,0.62983,0.06789,0.87104,1.62912,0.0013664,0.0013664,0.0013664
18,1398.44,1.38403,0.54752,0.47369,0.87028,1.40065,0.94648,0.91165,0.96509,0.58044,0.97288,0.93574,0.98768,0.88901,1.4642,0.53944,0.06584,0.74185,1.43058,0.0013268,0.0013268,0.0013268
19,1468.84,1.383,0.51645,0.45782,0.87325,1.38794,0.93132,0.87141,0.92803,0.49301,0.93837,0.91968,0.96634,0.8195,1.59271,0.72811,0.29778,0.88075,1.53459,0.0012872,0.0012872,0.0012872
20,1538.27,1.40105,0.53613,0.4483,0.89145,1.34122,0.94074,0.8996,0.96617,0.51749,0.96837,0.95181,0.98375,0.89984,1.64017,0.55545,0.08468,0.76356,1.52067,0.0012476,0.0012476,0.0012476
21,1609.73,1.33413,0.49992,0.43968,0.87364,1.38085,0.91366,0.93498,0.9511,0.45519,0.98312,0.9355,0.99003,0.87027,1.87873,0.56544,0.03186,0.71039,1.66109,0.001208,0.001208,0.001208
22,1676.26,1.30339,0.49001,0.46125,0.83416,1.35184,0.94633,0.94779,0.96694,0.56115,0.95989,0.96114,0.98894,0.90328,1.48681,0.47764,0.04295,0.70398,1.42247,0.0011684,0.0011684,0.0011684
23,1747.79,1.38642,0.50104,0.45082,0.8646,1.37262,0.95497,0.93687,0.95201,0.50286,0.97772,0.96386,0.98553,0.90275,1.63218,0.50511,0.03759,0.75594,1.55714,0.0011288,0.0011288,0.0011288
24,1815.12,1.32999,0.49237,0.4593,0.84536,1.37571,0.9665,0.92684,0.96643,0.54322,0.99162,0.95062,0.99228,0.90081,1.58707,0.48118,0.04547,0.66042,1.44718,0.0010892,0.0010892,0.0010892
25,1880.53,1.3024,0.44433,0.41675,0.80383,1.32012,0.97786,0.93976,0.97506,0.55983,0.97596,0.97838,0.99204,0.90437,1.46081,0.47613,0.03698,0.66722,1.42704,0.0010496,0.0010496,0.0010496
26,1945.51,1.28639,0.43391,0.41063,0.79289,1.33103,0.9552,0.95181,0.96208,0.57928,0.98774,0.9707,0.98704,0.91703,1.43013,0.44685,0.0399,0.64721,1.37138,0.00101,0.00101,0.00101
