epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1878,2.01502,1.75282,1.13583,1.73359,1.99383,0.81471,0.6888,0.70485,0.24691,0.93741,0.79253,0.89628,0.58594,2.40899,2.04624,0.80039,1.95013,2.10711,0.000655738,0.000655738,0.000655738
2,149.506,1.76851,1.12913,0.87185,1.25658,1.77419,0.75341,0.6556,0.63136,0.2029,0.84568,0.73859,0.80994,0.48642,2.40965,1.73455,0.41738,1.70668,2.16634,0.00131368,0.00131368,0.00131368
3,220.264,1.7244,0.94562,0.72213,1.18774,1.70264,0.66587,0.65975,0.67059,0.21963,0.72832,0.7453,0.78023,0.47305,2.38513,1.8038,0.10424,2.49953,2.39445,0.00196282,0.00196282,0.00196282
4,289.958,1.69789,0.90319,0.62084,1.1721,1.70616,0.27399,0.18672,0.08993,0.02419,0.7234,0.62656,0.65644,0.44044,3.53861,1.9722,0.55146,4.94386,3.94317,0.0019604,0.0019604,0.0019604
5,359.383,1.60009,0.79453,0.56157,1.0653,1.61408,0.79005,0.73859,0.76724,0.34445,0.84007,0.78464,0.86167,0.58163,1.97765,1.56074,0.12524,1.97688,1.7649,0.0019472,0.0019472,0.0019472
6,428.971,1.58355,0.72391,0.52396,1.03172,1.59186,0.46527,0.3029,0.26987,0.07592,0.4488,0.35475,0.38881,0.22983,3.08934,2.22015,0.40891,2.61137,2.49062,0.001934,0.001934,0.001934
7,498.269,1.57385,0.68444,0.51024,1.04643,1.59046,0.83501,0.73444,0.77405,0.32566,0.89967,0.90871,0.94119,0.69686,2.34117,1.23263,0.06833,1.10978,1.9672,0.0019208,0.0019208,0.0019208
8,567.115,1.53201,0.64589,0.47835,0.95589,1.564,0.89693,0.8666,0.89753,0.35555,0.96161,0.93538,0.98022,0.77239,2.0481,0.9646,0.05564,0.98215,1.76307,0.0019076,0.0019076,0.0019076
9,631.539,1.51783,0.61684,0.46805,0.95869,1.53082,0.84838,0.83584,0.87806,0.42767,0.90053,0.90156,0.94054,0.79115,1.77465,0.79682,0.05167,0.93061,1.57272,0.0018944,0.0018944,0.0018944
10,694.391,1.45062,0.57603,0.42278,0.91119,1.4989,0.84556,0.83402,0.87887,0.34349,0.93182,0.87967,0.96016,0.76291,2.11062,1.04792,0.06562,0.97194,1.79603,0.0018812,0.0018812,0.0018812
