epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.679,2.12441,2.2654,2.45366,1.98593,1.96542,0.57799,0.58759,0.56905,0.18028,0.71457,0.64234,0.74908,0.50611,2.39763,1.97565,1.3157,2.66619,2.13013,0.000657005,0.000657005,0.000657005
2,196.571,1.92632,1.44474,1.67807,1.57947,1.825,0.68303,0.62129,0.6397,0.22305,0.7691,0.74088,0.79645,0.51381,2.24605,1.75935,0.60463,1.76876,2.02524,0.00131494,0.00131494,0.00131494
3,286.038,1.8802,1.3249,1.43142,1.49561,1.74994,0.66251,0.68248,0.70121,0.26051,0.69793,0.71898,0.76419,0.46508,2.08425,1.65055,0.80279,2.00933,1.90845,0.00196407,0.00196407,0.00196407
4,373.361,1.90161,1.25487,1.34371,1.47981,1.70887,0.42277,0.33577,0.29602,0.07973,0.64915,0.54697,0.6127,0.35182,2.65429,1.7863,0.38354,2.33327,2.564,0.0019604,0.0019604,0.0019604
5,464.461,1.84162,1.15237,1.21291,1.45596,1.7132,0.76756,0.68613,0.72527,0.25238,0.80906,0.75774,0.83999,0.58958,2.21404,1.47224,0.4083,1.37697,1.91837,0.0019472,0.0019472,0.0019472
6,557.65,1.7741,0.97181,1.18139,1.38273,1.69692,0.76401,0.79562,0.79306,0.31148,0.86946,0.90511,0.93231,0.71749,2.20115,1.17481,0.33312,1.19667,1.88915,0.001934,0.001934,0.001934
7,650.351,1.7207,0.94707,1.12802,1.26779,1.63551,0.74276,0.72993,0.73686,0.25761,0.83189,0.81752,0.87869,0.70547,2.34057,1.25066,0.10054,1.44327,2.13821,0.0019208,0.0019208,0.0019208
8,746.017,1.70795,0.8623,1.05281,1.26193,1.63741,0.76134,0.60219,0.66148,0.24056,0.87477,0.74453,0.84622,0.6132,2.42236,1.19563,0.12257,1.45664,2.10728,0.0019076,0.0019076,0.0019076
9,838.441,1.6646,0.80376,0.99809,1.21318,1.61298,0.83689,0.81387,0.84003,0.3007,0.92199,0.90586,0.94384,0.77361,2.26541,0.87996,0.09925,1.19179,1.93569,0.0018944,0.0018944,0.0018944
10,929.56,1.60788,0.7914,0.93843,1.15954,1.56284,0.80892,0.77255,0.78811,0.31919,0.91964,0.87711,0.92911,0.67013,2.29773,1.21176,0.15797,1.15633,2.00626,0.0018812,0.0018812,0.0018812
11,1007.35,1.60945,0.76626,0.96387,1.12561,1.54496,0.85678,0.78102,0.81753,0.34583,0.90477,0.88321,0.95651,0.81227,2.0841,0.80875,0.17071,1.23625,1.85981,0.001868,0.001868,0.001868
12,1085.13,1.63972,0.7751,0.92975,1.1012,1.54168,0.85669,0.70438,0.78924,0.31882,0.8749,0.83212,0.90959,0.74509,2.21871,0.93355,0.17585,1.13442,1.92991,0.0018548,0.0018548,0.0018548
13,1163.1,1.56834,0.70775,0.93247,1.06607,1.51252,0.8899,0.86496,0.90889,0.44156,0.9442,0.9263,0.97009,0.82075,1.84547,0.76074,0.0661,0.97098,1.68058,0.0018416,0.0018416,0.0018416
14,1241.16,1.51536,0.68462,0.85599,1.0693,1.48656,0.90706,0.85401,0.90498,0.43155,0.95659,0.92336,0.96746,0.78945,1.91652,0.80306,0.06173,0.90022,1.65705,0.0018284,0.0018284,0.0018284
15,1319.12,1.48986,0.65366,0.85611,0.99952,1.48069,0.87221,0.84691,0.87999,0.39377,0.93359,0.92351,0.96871,0.81954,1.97277,0.75347,0.08983,0.90985,1.73907,0.0018152,0.0018152,0.0018152
16,1396.57,1.48388,0.64322,0.84733,1.00391,1.45141,0.94902,0.89416,0.92377,0.45886,0.98298,0.92336,0.96396,0.83489,1.7326,0.70727,0.06216,0.95373,1.57573,0.001802,0.001802,0.001802
17,1474.38,1.47557,0.57432,0.79299,0.96827,1.46191,0.88189,0.82482,0.86084,0.32049,0.97554,0.91241,0.97249,0.86052,2.22105,0.64681,0.18161,0.98963,1.90166,0.0017888,0.0017888,0.0017888
18,1552.23,1.53351,0.63474,0.81605,1.01447,1.50686,0.90333,0.87956,0.93358,0.52955,0.92653,0.90876,0.9687,0.83559,1.52345,0.68439,0.07574,0.8568,1.47697,0.0017756,0.0017756,0.0017756
19,1630.1,1.51128,0.60099,0.76675,0.98443,1.46958,0.81966,0.8128,0.85627,0.31322,0.90087,0.86496,0.94754,0.82405,2.24863,0.67244,0.14497,1.19149,1.93777,0.0017624,0.0017624,0.0017624
